Chapter	ID	Title	AuthorList	Description
0	[HP90]	Computer Architecture a Quantitative Approach” (1st ed.)	David A. Patterson and John L. Hennessy . Morgan-Kaufman, 1990.	A book that encouraged each of us at our undergraduate institutions to pursue graduate studies; we later both had the pleasure of working with Patterson, who greatly shaped the foundations of our research careers.
0	[F96]	Six Easy Pieces: Essentials Of Physics Explained By Its Most Brilliant Teacher	Richard P. Feynman. Basic Books, 1996.	This book reprints the six easiest chapters of Feynman’s Lectures on Physics, from 1963. If you like Physics, it is a fantastic read.
0	[KR88]	The C Programming Language” 	Brian Kernighan and Dennis Ritchie. PrenticeHall, April 1988	The C programming reference that everyone should have, by the people who invented the language.
0	[K62]	The Structure of Scientiﬁc Revolutions 	Thomas S. Kuhn. University of Chicago Press, 1962.	A great and famous read about the fundamentals of the scientiﬁc process. Mop-up work, anomaly, crisis, and revolution. We are mostly destined to do mop-up work, alas.
0	[CK+08]	The xv6 Operating system	Russ Cox, Frans Kaashoek, Robert Morris, Nickolai Zeldovich 	From: http://pdos.csail.mit.edu/6.828/2008/index.html. xv6 was developed as a port of the original U NIX version 6 and represents a beautiful, clean, and simple way to understand a modern operating system.
2	[BOH10]	Computer Systems: A Programmer’s Perspective 	R. Bryant and D. O’Hallaron. Addison-Wesley, 2010.	Another great intro to how computer systems work. Has a little bit of overlap with this book — so if you’d like, you can skip the last few chapters of that book, or simply read them to get a different perspective on some of the same material. After all, one good way to build up your own knowledge is to hear as many other perspectives as possible, and then develop your own opinion and thoughts on the matter. You know, by thinking!
2	[PP03]	Introduction to Computing Systems: From Bits and Gates to C and Beyond 	Yale N. Patt, Sanjay J. Patel. McGraw-Hill, 2003.	One of our favorite intro to computing systems books. Starts at transistors and gets you all the way up to C; the early material is particularly great.
2	[SS+10]	Membrane: Operating System Support for Restartable File Systems 	S. Sundararaman, S. Subramanian, A. Rajimwale, A. Arpaci-Dusseau, R. Arpaci-Dusseau, M. Swift. FAST ’10, San Jose, CA, February 2010.	The great thing about writing your own class notes: you can advertise your own research. But this paper is actually pretty neat — when a ﬁle system hits a bug and crashes, Membrane auto-magically restarts it, all without applications or the rest of the system being affected.
2	[K+61]	One-Level Storage System 	 T. Kilburn, D.B.G. Edwards, M.J. Lanigan, F.H. Sumner. 	IRE Transactions on Electronic Computers, April 1962. The Atlas pioneered much of what you see in modern systems. However, this paper is not the best read. If you were to only read one, you might try the historical perspective below [L78].
2	[S68]	SDS 940 Time-Sharing System	Scientiﬁc Data Systems. TECHNICAL MANUAL, SDS 90 11168, August 1968.	Yes, a technical manual was the best we could ﬁnd. But it is fascinating to read these old system documents, and see how much was already in place in the late 1960’s. One of the minds behind the Berkeley Time-Sharing System (which eventually became the SDS system) was Butler Lampson, who later won a Turing award for his contributions in systems.
2	[B+72]	TENEX, A Paged Time Sharing System for the PDP-10	D. Bobrow, J. Burchﬁel, D. Murphy, R. Tomlinson. CACM, Volume 15, Number 3, March 1972.	TENEX has much of the machinery found in modern operating systems; read more about it to see how much innovation was already in place in the early 1970’s.
